Date of creation of the report with coordinates: 2023-04-29 
-------------------------------------------------------
Point_number       X [m]              Y [m]       
    1        836043.605      -10229.868   
    2        570847.921      -269380.345  
    3        244505.719       22210.752   
    4        -236954.287     222223.761   
    5        765856.839      -164352.292  
    6        1335994.711     549057.917   
    7        357180.689      171770.532   
    8        1088332.077     486005.734   
    9        448291.305      -367888.910  
    10        -7453.045       65487.858   
    11       841857.517      414874.806   
    12       1238021.563      51600.343   
    13       155091.040      -168039.068  
    14       994702.978      349975.135   
    15       -147142.028     500946.272   
    16       776332.507      -368118.370  
    17       1273347.162      -8678.968   
    18        5642.381       351494.705   
    19       297827.137      570834.381   
    20       605137.583      173634.235   
-------------------------------------------------------
