Date of creation of the report with coordinates: 2023-04-28 
-------------------------------------------------------
Point_number      X [m]           Y [m]     
    1        6165803.286     1199423.389  
    2        5841329.260     1019874.949  
    3        5600212.483     1386122.802  
    4        5060097.549     5533663.150  
    5        6056702.403     1069606.164  
    6        6640340.587     7437084.534  
    7        5650496.615     5452333.964  
    8        6392548.443     6545693.445  
    9        5698119.284     956747.685   
    10       5364792.895     1491490.723  
    11       6144917.190     6478118.682  
    12       6570637.407     1148101.662  
    13       5465440.895     1223557.156  
    14       6296880.853     6410978.028  
    15       5156568.310     6577642.504  
    16       6012607.942     871197.835   
    17       6587655.095     1080162.805  
    18       5307509.487     6426161.429  
    19       5601317.027     7429121.459  
    20       5898016.593     5440536.565  
-------------------------------------------------------
