Date of creation of the report with coordinates: 2023-04-28 
-------------------------------------------------------
Point_number      X [m]           Y [m]           Z [m]     
    1        3588382.360     696708.212      5209346.664  
    2        3860222.175     518788.966      5034121.370  
    3        4023193.575     880557.950      4854017.681  
    4        4303156.405     1187880.908     4540567.449  
    5        3684780.762     568157.881      5157786.407  
    6        3017929.850     1091077.930     5493751.117  
    7        3898126.191     995148.138      4932739.345  
    8        3238957.460     1100450.769     5365463.803  
    9        3975770.799     456019.403      4950075.101  
    10       4190328.329     983679.874      4691112.364  
    11       3456423.654     1100049.909     5229072.361  
    12       3252008.815     645953.800      5430564.670  
    13       4138607.074     720556.500      4783513.780  
    14       3356778.652     997077.413      5313160.285  
    15       4155137.175     1431729.549     4607194.253  
    16       3729008.015     370817.590      5144040.494  
    17       3240764.357     578636.618      5444815.504  
    18       4096447.374     1253374.444     4709554.678  
    19       3816628.072     1389139.014     4901623.903  
    20       3712465.350     933186.745      5084709.514  
-------------------------------------------------------
