Date of creation of the report with coordinates: 2023-04-28 
-------------------------------------------------------
Point_number    northing         easting          upper     
    1          156.365         -83.001         51.611     
    2          -96.661         111.240        -125.495    
    3          136.256        -123.232         64.708     
    4         -189.889         70.284          -9.907     
    5          -5.092          147.262        -168.723    
    6          -14.175         157.452        -145.687    
    7          185.788        -133.764         19.563     
    8         -107.125         110.090        -147.008    
    9         -179.198         110.411         -36.609    
    10         196.117         -78.521          9.085     
    11         186.938        -102.849         37.922     
    12         -53.701         136.332        -149.159    
    13         21.469         -149.272         162.095    
    14        -138.680        -162.228         -69.126    
    15         62.275         -131.194         122.505    
    16         -49.439         125.563        -141.436    
    17         18.915          154.067        -163.208    
    18         169.227        -104.027         36.809     
    19         49.566         -145.232         138.426    
    20         -70.400        -160.721         52.645     
-------------------------------------------------------
